key,job_role,job_title,company_name,skills,job_type,location,experience
1,Data Engineer,Data Engineer - OACS,LTIMindtree Limited,"['OACS', 'OAC', 'OAS', 'OBIEE']",Full time,Mumbai,3-8 Years
2,Data Engineer,Data Engineer Ab Initio,Brain Management Consultants India Private Limited,"['Ab Initio GDE', 'Ab Initio', 'Abinitio']",Full time,"Bengaluru / Bangalore, Gurgaon / Gurugram",3-10 Years
3,Data Engineer,Data Engineer,Synechron Technologies Private Limited,"['Data Engineer', 'Spark', 'Hive', 'Sqoop', 'Kafka']",Full time,Gurgaon / Gurugram,7-10 Years
4,Data Engineer,Data Engineer- OBIEE,LTIMindtree Limited,"['Business Intelligence', 'OBIEE', 'Data Warehouse']",Full time,"Bengaluru / Bangalore, Mumbai",3-8 Years
5,Data Engineer,Data Engineer,Synechron Technologies Private Limited,"['Data Engineer', 'Spark', 'Hive', 'Sqoop', 'Kafka']",Full time,"Chennai, Pune",7-10 Years
6,Data Engineer,Data Engineer,Synechron Technologies Private Limited,"['Data Engineer', 'Spark', 'Hive', 'Sqoop', 'Kafka']",Full time,"Bengaluru / Bangalore, Mumbai",7-10 Years
7,Data Engineer,Snowflake Data Engineer (Snowflake Datawarehouse) Lead,Santo Systems Private Limited,"['Snowflake Data Engineer', 'Snowflake Data Warehouse']",Full time,Bengaluru / Bangalore,12-14 Years
8,Data Engineer,Data Governance Engineer,HR Desire,"['Analytical Skills', 'Data Governance', 'Microsoft Azure']",Full time,Gurgaon / Gurugram,4-8 Years
9,Data Engineer,Data Engineer,Quess IT Staffing (Formerly known as Magna Infotech),"['Azure', 'Aws Cloud']",Full time,Bengaluru / Bangalore,4-10 Years
10,Data Engineer,Data Engineer,Tranquil Hr Solutions Private Limited,"['Cloud Data Engineering', 'Spark', 'Databricks']",Full time,Chennai,4-6 Years
11,Data Engineer,Data Engineer with Python,HNM Solutions,"['Data Engineer', 'python', 'AWS', 'Pyspark']",Full time,Chennai,5-5 Years
12,Data Engineer,Data Engineer,Mobile Programming LLC,['SQL Python/Scala/Java Big Data technologies (Hadoop'],Full time,"Bengaluru / Bangalore, Chennai",3-5 Years
13,Data Engineer,Azure Data Engineer,Elite,"['Azure', 'Data Engineer']",Full time,"Bengaluru / Bangalore, Coimbatore",5-10 Years
14,Data Engineer,Data Engineer,Supernal Infotech Private Limited,"['AWS Glue', 'Redshift', 'Kinesis']","Contract Job, International, Part time","Malaysia, Thailand",6-8 Years
15,Data Engineer,Data Engineer And DataWare House,Quess IT Staffing (Formerly known as Magna Infotech),"['Dataware House', 'Python', 'Pyspark', 'Sql Queries']",Full time,"Hyderabad / Secunderabad, Telangana",5-10 Years
16,Data Engineer,Lead Consultant- Google Cloud Platform (GCP) Data Engineer,Genpact,"['ETL Processes', 'GCP Services', 'Dataprep', 'Python']",Full time,"Hyderabad / Secunderabad, Telangana",0-2 Years
17,Data Engineer,Big Data Engineer,Metlife,"['Lineage ( Colibra /Atlas)', 'HDFS', 'Informatica PC/BDM 10']",Full time,"Hyderabad / Secunderabad, Telangana, India",4-6 Years
18,Data Engineer,"Sr. Data Engineer (Remote, IND)",CrowdStrike,"['Airflow', 'cd', 'K8', 'AWS Batch', 'SageMaker']",Full time,"Hyderabad / Secunderabad, Telangana, India",5-7 Years
19,Data Engineer,"Sr. Data Engineer (Remote, IND)",CrowdStrike,"['Adobe Experience Cloud', 'Gitlab CI/CD', 'Database Systems']",Full time,"Chennai, India",5-7 Years
20,Data Engineer,"Sr. Data Engineer (Remote, IND)",CrowdStrike,"['Adobe Experience Cloud', 'Gitlab CI/CD', 'Database Systems']",Full time,"Pune, India",5-7 Years
21,Data Engineer,Data Engineer 1,Atlas Copco,"['R', 'Power Bi', 'Databricks', 'Azure', 'Sql', 'Python']",Full time,"Pune, India",3-5 Years
22,Data Engineer,Data Engineer,Atlas Copco,"['Adf', 'Power Bi', 'Scala', 'Azure Data Lake', 'Databricks']",Full time,"Pune, India",3-5 Years
23,Data Engineer,"Sr. Data Engineer (Remote, IND)",CrowdStrike,"['Adobe Experience Cloud', 'Gitlab CI/CD', 'Database Systems']",Full time,"Hyderabad / Secunderabad, Telangana, India",5-7 Years
24,Data Engineer,Azure Data Engineer - Manager - Bangalore (Job Code : J47642),Sampoorna Consultants Private Limited,"['Databricks', 'Adf']",Full time,Bengaluru / Bangalore,10-14 Years
25,Data Engineer,Azure Data Engineer,Company name confidential,"['Adf', 'Azure Data Bricks', 'Azure Data Lake', 'Pyspark']",Full time,"Bengaluru / Bangalore, Hyderabad / Secunderabad, Telangana",5-13 Years
26,Data Engineer,Sr. Azure Data Engineer,Tata Consultancy Services Limited,['Azure Data Engineer'],Full time,"Bengaluru / Bangalore, Kolkata",6-8 Years
27,Data Engineer,Senior Data Engineer,White Horse Manpower Consultancy Private Limited,"['Power informatica', 'Oracle', 'SQL Server', 'Sdlc Process']",Full time,Bengaluru / Bangalore,8-12 Years
28,Data Engineer,Urgent opening for the post of Big data engineer for Hyderabad location.,Addon Manpower Solutions Private Limited,['big data engineer'],Full time,"Hyderabad / Secunderabad, Telangana",5-8 Years
29,Data Engineer,Senior Data Engineer,White Horse Manpower Consultancy Private Limited,"['Semarchy MDM', 'Linux Shell Scripting', 'Oracle Database']",Full time,"Bengaluru / Bangalore, Hyderabad / Secunderabad, Telangana",6-9 Years
