key,job_role,job_title,company_name,skills,job_type,location,experience
1,Data Engineer,Principle Data Engineer,Synechron Technologies Private Limited,"Principle Data Engineer,Big Data,Hadoop",Full time,"Chennai, Hyderabad / Secunderabad, Telangana",15-20 Years
2,Data Engineer,Data Engineer - OACS,LTIMindtree Limited,"OACS,OAC,OAS,OBIEE",Full time,Mumbai,3-8 Years
3,Data Engineer,Data Engineer,Synechron Technologies Private Limited,"Data Engineer,Spark,Hive,Sqoop,Kafka",Full time,"Chennai, Pune",7-10 Years
4,Data Engineer,Data Engineer,Synechron Technologies Private Limited,"Data Engineer,Spark,Hive,Sqoop,Kafka",Full time,"Bengaluru / Bangalore, Mumbai",7-10 Years
5,Data Engineer,Data Engineer (Spark/Streaming),Synechron Technologies Private Limited,"Data Engineer,Big Data,Spark,Streaming",Full time,Mumbai,5-10 Years
6,Data Analyst,Data Analyst/ETL implementation,Quess IT Staffing (Formerly known as Magna Infotech),ETL implementation Informatica,Full time,Chennai,8-13 Years
7,Data Analyst,Sr. Data Analyst,Crowdstrike,"snowflake,Machine Learning,Tableau,Sql",Full time,"Pune, India",8-10 Years
8,Data Analyst,Data Analyst | Business Analyst | Fresher IT Job - Fresher Can Apply Salary 45K,Structured Learning Assistance Consultants India Private Limited,"Data Analyst,Reporting Analyst,Mis Executive",Full time,"Delhi, Noida",0-5 Years
9,Data Analyst,DATA ANALYST INTERNSHIP AT PUNE,Maxgen Technologies Private Limited,"Internship,Live Projects,Academic Projects",Full time,"Pune, Aurangabad",Fresher
10,Data Analyst,Data Analyst,Coforge,"Jenkins pipeline,fpml,SDLC Processes,CMD",Full time,"Hyderabad / Secunderabad, Telangana, India",6-12 Years
11,Data Architect,Data Architect,Synechron Technologies Private Limited,"data solutions,Data Architect,Big Data,Hadoop",Full time,Mumbai,15-20 Years
12,Data Architect,Data Architect,Synechron Technologies Private Limited,"data solutions,Data Architect,Big Data,Hadoop",Full time,"Bengaluru / Bangalore, Pune",15-20 Years
13,Data Architect,Data Architect,Synechron Technologies Private Limited,"data solutions,Data Architect,Big Data,Hadoop",Full time,"Chennai, Hyderabad / Secunderabad, Telangana",15-20 Years
14,Data Architect,Hiring for Sr. Data Architect,Synechron Technologies Private Limited,"Aws Cloud,Machine Learning,Data Governance",Full time,Pune,12-20 Years
15,Data Architect,Partner Solutions Architect - Big Data,Databricks,"scikit-learn,HPO,Java,Pandas,Hadoop",Full time,"Bengaluru / Bangalore, India",10-12 Years
16,Data Scientist,Data Scientist,Synechron Technologies Private Limited,"Kanban,Data Scientist,Agile,Data Science",Full time,"Bengaluru / Bangalore, Mumbai",10-15 Years
17,Data Scientist,Data Scientist,Synechron Technologies Private Limited,"Kanban,Data Scientist,Agile,Data Science",Full time,"Chennai, Pune",10-15 Years
18,Data Scientist,Data Scientist,Synechron Technologies Private Limited,"Kanban,Data Scientist,Agile,Data Science",Full time,Gurgaon / Gurugram,10-15 Years
19,Data Scientist,Data Scientist Engineer,FIS,"API Integrations,PowerBI Reports,Azure SQL MI",Full time,"Chennai, India",5-12 Years
20,Data Scientist,AI/ML DATA SCIENTIST,Michael Page,"Ai,Six Sigma,Ml,Data Science,Change Management",Full time,"Pune, India",6-8 Years
21,Machine Learning Engineer,Machine Learning Ops Engineer,LTIMindtree Limited,"Machine Learning Ops,Machine Learning,MLops",Full time,"Bengaluru / Bangalore, Chennai",5-9 Years
22,Machine Learning Engineer,Machine Learning Engineer Required in Abroad,Donivia Overseas Private Limited,"machine learning engineer,Machine Learning",Full time,"Bengaluru / Bangalore, Hyderabad / Secunderabad, Telangana",2-12 Years
23,Machine Learning Engineer,Machine Learning Engineer,Atlassian,"sci-kit-learn,OpenAI LLMs,Keras/TensorFlow/PyTorch",Full time,"Bengaluru / Bangalore, India",0-2 Years
24,Machine Learning Engineer,ML Developer- WFH,Uplers,"ChatGPT,llm prompt engineering,snowflake",Full time,"Chennai, India",4-6 Years
25,Machine Learning Engineer,Principal Machine Learning Engineer,Atlassian,"OpenAI LLMs,RESTful microservices,Python",Full time,"Bengaluru / Bangalore, India",0-2 Years
